Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",59.7,59.9,64.7,66.3
"Syracuse, NY………………………………………….",75.5,73,72.1,67.7
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",66.4,71.7,72.8,63.1
"Toledo, OH………………………………………………..",71.7,65.2,67.4,73
"Tucson, AZ ..........................................................................................................................................................................................................",70.3,68.4,71.2,77
"Tulsa, OK....................................................................................................................................................................................................",64.9,61.5,61.4,66.9
"Urban Honolulu, HI29..................................................................................................................................",57.3,56.5,58.1,58.9
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",66.6,64.5,54.1,61.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",66.8,67.7,65.9,64.4
"Worcester, MA.........................................................................................................................................................................................",62.8,66.2,63,67.1
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2021,Second         Quarter       2021,Third         Quarter       2021,Fourth         Quarter       2021
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",69.1,67.1,70,57.9
"Albany-Schenectady-Troy, NY .....................................................................",69.6,61.3,63.3,65.4
"Albuquerque, NM...................................................................................................",68.7,67.3,65.3,64.5
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",75.1,65.2,68.5,72.6
"Atlanta-Sandy Springs-Roswell, GA1....................................................",66.6,65.5,61.5,63.2
"Austin-Round Rock, TX.....................................................................................................",64.6,66.7,59.2,59
"Baltimore-Columbia-Towson, MD2.....................................................................................................",67.9,65.8,68.5,68
"Baton Rouge, LA……………………………………….",73,69.2,69,70.7
"Birmingham-Hoover, AL......................................................................................................",68.9,69,74.7,78.1
"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.3,61,60.7,60
"Bridgeport-Stamford-Norwalk, CT.....................................................................",65,68.5,61.1,66
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",68.7,63.2,62.1,61.4
"Cape Coral-Fort Myers, FL...................................................................................",76.1,73.1,77.9,77.5
"Charleston-North Charleston-Summerville, SC....................................................................................................",68.2,73.8,74,76.2
