year,absorption,absorption_delta,msa,occ,occupancy_delta,pop,demolished_pct,rent_growth,real_rentpsf,real_rent_growth,starts_pct,inventory,RDI,real_rent_growth_next_year,real_relative_rent_growth,RDI_growth,supply_growth,real_relative_rg_next_year,supply_5yr_fwd,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,exog_shock,pct_international_mig_
2019,-0.002156,-0.001761,Pittsburgh - PA,0.947960317134857,0.010112702846526989,2371510.0,0.0,0.0317564606666565,0.8796950130500104,0.013756460666656502,0.013508583473519933,99220,2.4545777552828674,-0.00887742372043431,-0.004044733941555002,-0.025279101211008664,0.0054926123350696205,-0.02772661414928731,,,,-0.03484736135146889,-0.015051434165580524,0.001205942560651817,false,0.07482260044877442,0,0.07
2020,-0.001451,0.0007049999999999999,Pittsburgh - PA,0.938156723976135,-0.009803593158721924,2368314.0,0.0005140092723241282,0.00312257627956569,0.8757028383457869,-0.00887742372043431,0.01135859705704495,100591,2.5375595223446066,0.0126314705908298,-0.02772661414928731,0.03380694169624149,0.013817778673654505,-0.030958142131567105,,,,-0.01676483552344056,-0.1347664568144391,0.000715581535980649,true,-0.1319145879828972,0,0.0
2021,0.001714,0.0031650000000000003,Pittsburgh - PA,0.95259702205658,0.014440298080445002,2360794.0,0.00009941247228877335,0.0596314705908298,0.8855919484366629,0.0126314705908298,0.012187969102603613,102097,2.491013011836428,-0.0277200359106064,-0.030958142131567105,-0.018343022143248653,0.014971518326689267,0.004383470863103901,,,,-0.03738223826217873,-0.3175254632620472,0.0007754172838524322,false,0.04346294993523331,0,0.05
2022,-0.003215,-0.004929,Pittsburgh - PA,0.942945957183838,-0.009651064872742032,2347724.0,0.0,0.0522799640893936,0.8598532935566878,-0.0277200359106064,0.019745927892102607,102948,2.48345163570881,-0.032867932491004476,0.0048621743917465,-0.0030354623166112893,0.008335210633025456,-0.013309004716575173,,,,-0.03746237925225082,-0.553627296579029,0.0006268548537175431,false,-0.013011403547506285,0,0.19
2023,-0.001404,0.001811,Pittsburgh - PA,0.937667727470398,-0.005278229713440052,2344604.0,0.0,0.00813206750899553,0.8369280296847355,-0.032867932491004476,0.008664568520029529,104654,2.4911765281318963,,-0.013309004716575173,0.003110546753563563,0.016571472976648405,,,,,-0.009740097221063554,-0.13289466734590638,0.0004953957337685044,true,,0,0.34
2005,0.001276,,Portland - ME,0.947251319885254,,510342.40625,,0.015855573117733,1.3041196939444006,-0.018144426882267,,13315,2.6105651804467254,-0.0026252086907624997,0.0009870976209640503,,,-0.008988248184323297,0.04734782042215862,-0.058356285527348575,0.0017400456126778641,,,,,,0,0.06
2006,0.000521,-0.000755,Portland - ME,0.951047956943512,0.0037966370582579456,510998.0,0.0,0.0293747913092375,1.2967193085909137,-0.0026252086907624997,0.0045812992865189636,13428,2.5790816157363894,0.000909070581197699,-0.008988248184323297,-0.012060056935620525,0.0084866691701089,0.0018308265134692001,0.03886115125204972,-0.07217973607033498,0.015563409077003562,,0.1284615469871131,0.0003004130679684566,false,0.023885652514122724,0,0.08
2007,-0.000148,-0.000669,Portland - ME,0.946644604206085,-0.00440335273742698,512743.09375,0.0,0.0299090705811977,1.3003071932537809,0.000909070581197699,0.01459636580280012,13489,2.6177636241033513,-0.02852421934902668,0.0018308265134692001,0.014998365360344464,0.0045427464998510575,0.0009865849278867245,0.03582302608916219,-0.08361379697173837,0.008560199523344561,,0.3415069628452505,0.0005212987786714328,true,-0.0633389947953296,0,0.06
2008,0.001389,0.001537,Portland - ME,0.952571153640747,0.005926549434661976,514347.09375,0.0011120171991993476,0.00947578065097332,1.260437168464796,-0.02852421934902668,0.01801467862702943,13670,2.5430731713973125,-0.0286283797621727,0.0009865849278867245,-0.028532160817851582,0.013418340870338795,-0.0020616780966520483,0.022905472169746276,-0.0455836140736938,0.010952806798741136,,0.3128272266465837,0.0009637482393061013,false,0.08812574875593739,0,0.06
2009,-0.002325,-0.003714,Portland - ME,0.943652510643005,-0.008918642997741921,514618.28125,0.0,-0.0326283797621727,1.2266801723300427,-0.0286283797621727,0.003218727139722019,13761,2.613525172600931,0.0005124516934155998,-0.0020616780966520483,0.027703489618785944,0.006656912948061448,0.009972560452297285,0.016892105878817468,-0.011726093851029903,0.016235601855441886,,0.05272461015046748,0.0002926115581565472,true,-0.112366280062906,0,0.05
