year,msa,exog_shock
2018,Detroit - MI,0
2019,Detroit - MI,0
2020,Detroit - MI,0
2021,Detroit - MI,0
2022,Detroit - MI,0
2023,Detroit - MI,0
2024,Detroit - MI,0
2000,Durham - NC,0
2001,Durham - NC,0
2002,Durham - NC,0
2003,Durham - NC,0
2004,Durham - NC,0
2005,Durham - NC,0
2006,Durham - NC,0
2007,Durham - NC,0
2008,Durham - NC,0
2009,Durham - NC,0
2010,Durham - NC,0
2011,Durham - NC,0
2012,Durham - NC,0
2013,Durham - NC,0
2014,Durham - NC,0
2015,Durham - NC,0
2016,Durham - NC,0
2017,Durham - NC,0
2018,Durham - NC,0
2019,Durham - NC,0
2020,Durham - NC,0
2021,Durham - NC,0
2022,Durham - NC,0
2023,Durham - NC,0
2024,Durham - NC,0
2000,East Bay - CA,0
2001,East Bay - CA,0
2002,East Bay - CA,0
2003,East Bay - CA,0
2004,East Bay - CA,0
2005,East Bay - CA,0
2006,East Bay - CA,0
2007,East Bay - CA,0
2008,East Bay - CA,0
2009,East Bay - CA,0
2010,East Bay - CA,0
2011,East Bay - CA,0
2012,East Bay - CA,0
2013,East Bay - CA,0
2014,East Bay - CA,0
2015,East Bay - CA,0
2016,East Bay - CA,0
2017,East Bay - CA,0
2018,East Bay - CA,0
2019,East Bay - CA,0
2020,East Bay - CA,0
2021,East Bay - CA,0
2022,East Bay - CA,0
2023,East Bay - CA,0
2024,East Bay - CA,0
2000,El Paso - TX,0
2001,El Paso - TX,0
2002,El Paso - TX,0
2003,El Paso - TX,0
2004,El Paso - TX,0
2005,El Paso - TX,0
2006,El Paso - TX,0
2007,El Paso - TX,0
2008,El Paso - TX,0
2009,El Paso - TX,0
2010,El Paso - TX,0
2011,El Paso - TX,0
2012,El Paso - TX,0
2013,El Paso - TX,0
2014,El Paso - TX,0
2015,El Paso - TX,0
2016,El Paso - TX,0
2017,El Paso - TX,0
2018,El Paso - TX,0
2019,El Paso - TX,0
2020,El Paso - TX,0
2021,El Paso - TX,0
2022,El Paso - TX,0
2023,El Paso - TX,0
2024,El Paso - TX,0
2000,Fargo - ND,0
2001,Fargo - ND,0
2002,Fargo - ND,0
2003,Fargo - ND,0
2004,Fargo - ND,0
2005,Fargo - ND,0
2006,Fargo - ND,0
2007,Fargo - ND,0
2008,Fargo - ND,0
2009,Fargo - ND,0
2010,Fargo - ND,0
2011,Fargo - ND,0
2012,Fargo - ND,0
2013,Fargo - ND,0
2014,Fargo - ND,0
2015,Fargo - ND,0
2016,Fargo - ND,0
2017,Fargo - ND,0
2018,Fargo - ND,0
2019,Fargo - ND,0
2020,Fargo - ND,0
2021,Fargo - ND,0
2022,Fargo - ND,0
2023,Fargo - ND,0
2024,Fargo - ND,0
2000,Fort Lauderdale - FL,0
2001,Fort Lauderdale - FL,0
2002,Fort Lauderdale - FL,0
2003,Fort Lauderdale - FL,0
2004,Fort Lauderdale - FL,0
2005,Fort Lauderdale - FL,0
2006,Fort Lauderdale - FL,0
2007,Fort Lauderdale - FL,0
2008,Fort Lauderdale - FL,0
