rr_rent_growth_m2,rr_rent_growth_m1,rr_rent_growth_0,rr_rent_growth_p1,rr_rent_growth_p2,event,event_year,msa
-0.0017433408647775997,-0.02217410458251832,-0.0013338122516870464,0.0010230434127151931,-0.0003224513493478992,increase,2009,Shreveport - LA
,-0.0033580870367586994,0.0273850113153458,-0.0017092823982239012,-0.029726602602750014,increase,2006,Spartanburg - SC
-0.0033580870367586994,0.0273850113153458,-0.0017092823982239012,-0.029726602602750014,-0.00062089227139955,increase,2007,Spartanburg - SC
0.0273850113153458,-0.0017092823982239012,-0.029726602602750014,-0.00062089227139955,0.0013595884665846842,increase,2008,Spartanburg - SC
0.023992612957954403,0.00018363399431109428,-0.039427546784281745,0.0029676761478185636,0.00020048255100840046,increase,2009,Spokane - WA
-0.01731732068583371,-0.018090682104229903,-0.007161526009440401,-0.014375508297234774,-0.024425426498055444,increase,2007,Stamford - CT
0.002684549894183902,-0.0093277469277382,0.0023553315550088987,-0.0009846901521086658,0.00222287140786645,increase,2007,State College - PA
0.027086058165878,0.005257971584796899,0.0014132075011729986,0.0013404102064669132,-0.024274567142128944,increase,2007,Stockton - CA
,-0.0059081898070872,-0.019966023042798,-0.006731428205966998,0.003946398850530386,increase,2006,Toledo - OH
0.008896565996110453,0.0041360720060765015,-0.003369701094925499,0.0018044169992208516,-0.0032258788123727,increase,2012,Trenton - NJ
0.018903987482190153,-0.000927977729588747,0.006198814604431401,0.005298107862472501,-0.012294436804950199,increase,2011,Tyler - TX
-0.000927977729588747,0.006198814604431401,0.005298107862472501,-0.012294436804950199,-0.0044281296432018,increase,2012,Tyler - TX
-0.012294436804950199,-0.0044281296432018,-0.0028253495693206475,-0.027304423274472342,0.0028863884508609494,increase,2015,Tyler - TX
0.009033738635480452,-0.0005820482037962003,-0.0046084458008409,-0.00036295317113394995,-0.0045093186199665,increase,2012,Utica - NY
0.0025918628089129994,-0.0006517395377159049,0.013467971235513698,0.0006286264397203922,-0.002875829115510046,increase,2007,Waco - TX
-0.00030822912231090113,0.002079548314213699,-0.0020504221320151485,-0.01506497850641608,-0.027186142746359075,increase,2013,Wichita Falls - TX
-0.005366262979805449,-0.01006074342876672,-0.005104921758174848,0.002479301765561149,-0.016225850209593752,decrease,2015,Albany - NY
-0.01651085168123241,5.028676241639919e-05,-0.014287307858467047,0.0018801521509885493,-0.0015126001089811499,decrease,2015,Albuquerque - NM
5.028676241639919e-05,-0.014287307858467047,0.0018801521509885493,-0.0015126001089811499,0.0021904669702053035,decrease,2016,Albuquerque - NM
,0.003702295478433402,-0.0021616630256175995,0.010793991386890401,-4.341127350926399e-05,decrease,2006,Amarillo - TX
