msa,rdi_positive_count,rent_growth_sum
Austin - TX,2,-0.007693985849618899
Austin - TX,1,0.00924778301268812
Austin - TX,0,0.0071272602304816
Austin - TX,0,-0.00907514411956074
Bakersfield - CA,5,0.0014000392053276195
Bakersfield - CA,5,-0.0015158322174102202
Bakersfield - CA,4,-0.0035559256095439398
Bakersfield - CA,4,-0.00442500230856242
Bakersfield - CA,4,0.0003906022291630399
Bakersfield - CA,4,-0.00287259062752128
Bakersfield - CA,3,-0.00424817632883788
Bakersfield - CA,4,-0.0035932356491684995
Bakersfield - CA,4,-0.0007446624338626993
Bakersfield - CA,3,0.00206537619233126
Bakersfield - CA,2,0.009155194833874641
Bakersfield - CA,2,0.017754662223160262
Bakersfield - CA,1,0.016668083705008038
Bakersfield - CA,1,0.01601044666022064
Baltimore - MD,3,0.0089423828292638
Baltimore - MD,3,0.01156735806725916
Baltimore - MD,3,0.01086486852727828
Baltimore - MD,3,0.01098439316265282
Baltimore - MD,2,0.005467207496985761
Baltimore - MD,2,-0.0014662082307040798
Baltimore - MD,2,-0.006041342578828319
Baltimore - MD,2,-0.00702566783875226
Baltimore - MD,1,-0.008101734146475758
Baltimore - MD,1,-0.007734842225909198
Baltimore - MD,1,-0.004571264609694481
Baltimore - MD,0,0.0028412612155079603
Baltimore - MD,0,0.00013657677918672007
Baltimore - MD,0,-0.0013257622718810997
Baton Rouge - LA,1,0.0005740544293076002
Baton Rouge - LA,2,-0.00610252725891766
Baton Rouge - LA,3,-0.006101003801450079
Baton Rouge - LA,3,-0.0009206408169120399
Baton Rouge - LA,2,-0.00112802251242102
Baton Rouge - LA,2,-0.0028451565653085597
Baton Rouge - LA,1,0.0034379139542579595
Baton Rouge - LA,0,-0.0028716117143631004
Baton Rouge - LA,1,-0.010162243340164401
Baton Rouge - LA,2,-0.01796139390207824
Baton Rouge - LA,3,-0.016096063563600164
Baton Rouge - LA,3,-0.023084566416218838
Baton Rouge - LA,4,-0.02110679657198486
Baton Rouge - LA,3,-0.01480007986538108
Beaumont - TX,0,0.00509890788234772
Beaumont - TX,0,0.0038786535616964386
Beaumont - TX,0,-0.00240249740891156
Beaumont - TX,0,-0.00584320551715788
Beaumont - TX,1,-0.007901058299466938
Beaumont - TX,1,-0.00665225740522144
Beaumont - TX,1,-0.005583204980939641
Beaumont - TX,1,0.00328051578253504
Beaumont - TX,2,0.0023801250383257595
Beaumont - TX,1,0.0020778924226760595
Beaumont - TX,2,-0.002295424579642741
Beaumont - TX,3,-0.0097478631651029
Beaumont - TX,4,-0.01890989427920428
Beaumont - TX,3,-0.011377169541083261
