CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Houston-Pasadena, TX",BSREP IV,BSREP IV North American Logistics Portfolio,17506 East Hardy Road,,,,24.03%,1.42%,0.82%,,,,,,,,,,
"Houston-Pasadena, TX",BSREP IV,BSREP IV North American Logistics Portfolio,Interwood Business Park,,,,3.04%,1.42%,0.41%,,,,,,,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,One Allen Center,,,,,,,,,,1.10%,1.27%,0.79%,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,Three Allen Center,,,,,,,,,,-13.57%,1.27%,0.89%,,,,
"Houston-Pasadena, TX",US Office Fund,Allen Center,Two Allen Center,,,,,,,,,,2.01%,1.27%,2.11%,,,,
"Idaho Falls-Rexburg-Blackfoot, ID",BPY / CIC/BPY Retail,Core Retail,Grand Teton Mall,,,,,,,,,,,,,2.90%,1.14%,0.11%,
"Indianapolis-Carmel-Muncie, IN",Brookfield US REIT (NTR),187 Bartram Parkway,Aisin Logistics Center,,,,0.00%,,0.53%,,,,,,,,,,
"Kansas City-Overland Park-Kansas City, MO-KS",BSREP IV,Watermark Lodging,Marriott Kansas,0.79%,1.20%,1.79%,,,,,,,,,,,,,
"Las Vegas-Henderson, NV",BPREP US,National Logistics Portfolio,Penhall Las Vegas,,,,37.33%,2.09%,0.16%,,,,,,,,,,
"Las Vegas-Henderson, NV",BPREP US,Vernon Logistics Portfolio,4120 Sobb Avenue,,,,2.00%,2.09%,0.12%,,,,,,,,,,
"Las Vegas-Henderson, NV",BPY / BWS / CIC/BPY Retail,Fashion Show Las Vegas,Fashion Show,,,,,,,,,,,,,-2.74%,2.73%,4.64%,
"Las Vegas-Henderson, NV",BPY / BWS / CIC/BPY Retail,Grand Canal Shoppes,The Grand Canal Shoppes,,,,,,,,,,,,,-1.14%,2.73%,3.78%,
"Las Vegas-Henderson, NV",BPY / CIC/BPY Retail,Core Retail,Meadows Mall,,,,,,,,,,,,,-6.91%,2.73%,0.23%,
"Los Angeles-Long Beach, CA",,,Promenade Temecula,,,,,,,,,,,,,0.44%,1.10%,,
"Los Angeles-Long Beach, CA",,,Victoria Gardens,,,,,,,,,,,,,6.14%,1.10%,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,11171 Venture Drive,,,,-0.07%,1.28%,0.28%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,15910 Valley View Ave,,,,3.00%,1.28%,0.65%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,16306 Bloomfield,,,,51.73%,1.28%,,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,16404 Knott Ave,,,,3.00%,1.28%,0.43%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1729 Apollo Court,,,,38.83%,1.28%,0.61%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1771 Delilah,,,,-1.01%,1.28%,0.34%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,1901 W. Center Street,,,,3.00%,1.28%,1.57%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,21046 Figueroa,,,,4.17%,1.28%,0.63%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,21112 Figueroa,,,,3.00%,1.28%,0.71%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,3425/3435 Vernon,,,,3.26%,1.28%,1.77%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,3501 Vernon,,,,2.96%,1.28%,0.56%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,4000 Noakes,,,,-22.08%,1.28%,,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,4625 District Boulevard,,,,3.83%,1.28%,0.45%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,Canyon Commerce Center,,,,4.00%,1.28%,1.63%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,I-210 Logistics Center II,,,,3.00%,1.28%,4.22%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,National Logistics Portfolio,Penhall Anaheim,,,,0.00%,,0.52%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2100 38th Street,,,,2.00%,1.28%,0.81%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2200 East 55th Avenue,,,,2.00%,1.28%,1.07%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2450 East Vernon Avenue,,,,2.00%,1.28%,0.25%,,,,,,,,,,
"Los Angeles-Long Beach, CA",BPREP US,Vernon Logistics Portfolio,2503 East Vernon Avenue,,,,2.00%,1.28%,1.12%,,,,,,,,,,
