met_name,year,real_rent_growth,real_rent_growth_next_year,density_rented,bedroom_density_rented,real_relative_rent_growth_next_year,supply_growth
"Buffalo-Cheektowaga-Niagara Falls, NY",2023,0.0023785112198334013,0.006388148012029599,1.9397572545633066,0.6260705054045489,0.0146619072183966,0.01985963864416903
"Santa Rosa, CA",2019,-0.008100093236827902,0.004503784581288299,2.5527755067519946,0.853616459663925,-0.012766626663506052,0.019570099454603786
"St. Louis, MO-IL",2012,-0.006778452620255901,0.0020935827583703995,2.282189206647484,0.7552553282041615,-0.0038905302062630515,0.0047532820280669985
"Oklahoma City, OK",2023,-0.008835782319690701,-0.007314460632932701,2.183698206094059,0.7118907327392957,0.0009592985734342991,0.013615765402769202
"Santa Rosa, CA",2008,0.00700230368658781,-0.079819884806448,2.466353271570079,0.8070812460355911,-0.020302919670939452,0.0022589637604537153
"San Jose-Sunnyvale-Santa Clara, CA",2012,0.027114870883178696,0.038400871092144,2.8851956518488615,0.9629293244339093,0.03241675812751055,0.0299480365166894
"Urban Honolulu, HI",2019,0.012361030199861497,0.0030792689614142985,2.7068296425405762,0.8727541710396438,-0.014191142283380052,0.0
"Syracuse, NY",2009,-0.0555509633417664,0.0020300850425434003,2.1258193890780435,0.6983870454111203,0.009397119982168071,0.0010398726156045884
"Orlando-Kissimmee-Sanford, FL",2023,-0.060884294122840896,-0.037698399556410786,2.4181183727794666,0.7724865441988061,-0.029424640350043788,0.06692165366862964
"Springfield, MO",2014,0.007079889408038601,0.0187669533138533,2.287853522428965,0.7123367243603913,-0.0077522415667772016,0.003456374351929809
"Springfield, MO",2021,-0.0059339324026565915,-0.000768457752792398,1.945998403431058,0.6421130375948393,0.017146261408925,0.02112676056338028
"Providence-Warwick, RI-MA",2018,0.014184380696073497,0.0090757674661636,2.2484468445767005,0.7627520892618129,-0.003959866240620648,0.021796657381615597
"Orlando-Kissimmee-Sanford, FL",2008,-0.019030649836511603,-0.069007475584322,2.625080338765183,0.8181450524039113,-0.00949051044881346,0.04813662079138906
"Chicago-Naperville-Elgin, IL-IN-WI",2017,-0.0072622511052675,0.007932883501902601,2.4563683428290344,0.8385179306757936,-0.005533128976821899,0.015892742206443725
"New York-Newark-Jersey City, NY-NJ-PA",2005,,0.04425622777354429,2.48712352807351,0.9131095744816518,0.030877182260155695,
"Chicago-Naperville-Elgin, IL-IN-WI",2005,,0.0209416362763615,2.439983702552635,0.8521591798442353,0.007562590762972901,
